"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"4. Proposal visibility","","","2","1","8","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"7. Proposal submission","","","3","0","15","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","0","9","0","0"
"3. DRep registration","","","3","2","4","0","0"
"Setup","","Authentication","0","0","9","0","0"
"2. Delegation","","","0","0","7","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
"6. Miscellaneous","","","0","0","1","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"Setup","","proposal","0","0","1","0","0"
